JOY,資料夾,管理者 ,備註
O,3S,HOWER,
X,@Backup,,
X,AJAXEnabledWebSite2,,
O,ARMail,HOWER,
X,Barcode,,
O,DASW,JESSICA,
X,Digital,,
O,DTMW,JESSICA,
O,EApproval,JESSICA,
O,EDI,HOWER/JOY,
O,EDIService,JOY,
X,EDIService1,,
O,edLink,HOWER,
O,FAS,JOY,
X,FGCOMPASS,,
X,GridView,,
X,HRIMG,X,舊HR已不使用
X,HRReport,X,舊HR已不使用
X,HRWCL,X,舊HR已不使用
X,HRWYM,X,舊HR已不使用
O,ISOS,JOY,
O,ISOSQC,JESSICA/JOY,
O,ISOSSP,JOY,
O,ItemRegister,HOWER,
O,ITM,JESSICA,
X,ITM_2020,,
X,ITOpen,,
X,Joy,,
O,MPM,JESSICA,
O,N2W,JESSICA,
O,NoComm,JESSICA,
X,SalesPrice,,
O,SBD,JESSICA,
O,SCD,JESSICA,
X,SharePoint,,
O,SPDSub,JESSICA,
X,Test,,
X,VirusCheck,,
X,VisitTrip,,
X,StockInOut,,
O,WavesService,JOY,
X,WavesService1,,
O,WFS,JOY,
O,WorkFlowSub,JESSICA,
X,WorkFlowSub1,,
X,XXPLSLDigital,,
